Age,Experience,Income,Branch Address,Family,CCAvg,Mortgage,Personal Loan,Brokerage Account,GIC Account,Online,CreditCard,Advisor Name,Advisor Designation,Branch Address 1,Branch Address 2,Branch Address 3
38,12,58,7919 Cedarwood Dr.,2,2.8,0,0,0,0,1,0,Gita Pinelli,PFP,7919 Cedarwood Dr.,1 Poplar St., 
43,19,60,8573 Princeton Road,2,2.5,0,0,1,0,0,0,Zandra Venne,PFP,8573 Princeton Road,4 Country Drive,14 Lakeshore Lane
31,7,128,9587 SW. Jefferson Street,1,6,0,0,0,0,0,0,Marylee Bristow,PFP,218 S. Westport Court,9587 SW. Jefferson Street,9670 Wilson Rd.
53,23,45,7330 West Grand St.,4,2,132,0,1,0,0,0,Beatriz Rolf,PFP,7330 West Grand St.,91 Lake Court,7041 East Mammoth Drive
50,26,55,234 Blue Spring Rd.,1,1.6,0,0,0,0,1,0,Carolin Whitmire,PFP,234 Blue Spring Rd.,533 Hillcrest Street,94 Country Club St.
45,19,19,40 E. Dunbar Ave.,3,1.5,94,0,0,0,1,1,Zofia Rambo,PFP,40 E. Dunbar Ave.,36 Kent Court,69 Spruce Dr.
36,9,49,94 Country Club St.,2,1.666666667,0,0,0,0,0,1,Mariana Ghent,CFP,94 Country Club St.,36 South St.,9091 S. Bowman Street
43,17,69,24 Trusel Court,4,2.9,0,0,0,0,1,1,Deedra Halderman,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
29,5,44,8378 West Magnolia Street,3,0.1,0,0,0,0,1,1,Bernarda Guilliams,PFP,8378 West Magnolia Street,518 Selby Ave.,8722 Richardson Street
34,10,19,8573 Princeton Road,4,0.4,0,0,0,0,0,0,Ying Michaelson,PFP,20 Bradford Ave.,8573 Princeton Road,4 Country Drive
29,3,84,336 Pin Oak Ave.,1,2.9,0,0,0,0,1,0,Ross Seipel,PFP,8376 Euclid Lane,336 Pin Oak Ave.,9834 East Pineknoll Ave.
60,34,101,9834 East Pineknoll Ave.,3,4.4,0,0,0,0,1,1,Corazon Eastin,PFP,336 Pin Oak Ave.,9834 East Pineknoll Ave.,742 Bridle Street
32,8,98,24 Trusel Court,2,2,175,0,0,0,1,0,Taylor Kemp,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
39,15,65,8017 Homestead Ave.,1,1.5,0,0,0,0,0,0,Elicia Schuyler,PFP,1 Poplar St.,8017 Homestead Ave.,387 West Fifth Ave.
59,29,45,14 Lakeshore Lane,3,2,0,0,0,0,1,0,Val Sauceda,PFP,14 Lakeshore Lane,890 W. Brickyard Dr., 
45,20,191,7919 Cedarwood Dr.,3,2.6,123,1,0,0,0,0,Gita Pinelli,PFP,7919 Cedarwood Dr.,1 Poplar St., 
43,17,91,387 West Fifth Ave.,1,5.7,0,0,0,0,1,0,Aleida Suitt,PFP,387 West Fifth Ave.,8536 Country Club Dr.,234 Blue Spring Rd.
47,21,123,9834 East Pineknoll Ave.,1,7.3,0,0,0,0,0,0,Brandon Sum,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
35,11,53,8017 Homestead Ave.,3,2.8,0,0,0,0,0,0,Margret Lan,PFP,8017 Homestead Ave.,387 West Fifth Ave.,8536 Country Club Dr.
45,21,73,177 Winchester Street,1,0.8,0,0,0,0,1,0,Pete Dickens,PFP,9929 Thompson Lane,177 Winchester Street,20 Bradford Ave.
53,27,145,9251 Old Vernon St.,1,2.9,345,0,0,0,0,0,Marcelene Thomson,PFP,9251 Old Vernon St.,667 E. Hall St.,68 Sunbeam St.
42,17,28,8722 Richardson Street,1,0.6,0,0,0,0,0,1,Cyril Murry,PFP,8722 Richardson Street,5 Maple Lane,24 Trusel Court
35,10,143,36 South St.,1,8.6,0,0,0,0,1,1,Latrisha Barden,PFP,36 South St.,9091 S. Bowman Street,8378 West Magnolia Street
43,19,83,7330 West Grand St.,4,3.6,0,1,0,0,0,1,Carylon Race,PFP,68 Sunbeam St.,7330 West Grand St.,91 Lake Court
30,4,39,33 Harrison Road,1,1.5,0,0,0,0,0,1,Jacqueline Leveque,CFP,33 Harrison Road,9251 Old Vernon St.,667 E. Hall St.
32,8,140,8378 West Magnolia Street,4,6.6,0,1,0,1,0,1,Bernarda Guilliams,PFP,8378 West Magnolia Street,518 Selby Ave.,8722 Richardson Street
41,17,81,177 Winchester Street,1,0.8,223,0,0,0,1,0,Caitlin Wimmer,PFP,177 Winchester Street,20 Bradford Ave.,8573 Princeton Road
43,19,45,4 Country Drive,3,0.6,0,0,0,0,0,0,Zandra Venne,PFP,8573 Princeton Road,4 Country Drive,14 Lakeshore Lane
37,11,84,7330 West Grand St.,4,2.2,0,0,0,0,1,1,Carylon Race,PFP,68 Sunbeam St.,7330 West Grand St.,91 Lake Court
40,16,85,76 Mayfair St.,4,0.2,0,0,0,0,1,1,Jodie Izquierdo,PFP,76 Mayfair St.,33 Harrison Road,9251 Old Vernon St.
53,29,20,597 Lawrence Street,4,0.2,0,0,0,0,1,0,Kristle Hanby,CFP,597 Lawrence Street,9929 Thompson Lane,177 Winchester Street
51,25,32,8722 Richardson Street,2,0.4,0,0,0,0,1,0,Cyril Murry,PFP,8722 Richardson Street,5 Maple Lane,24 Trusel Court
59,34,14,36 South St.,1,0.1,0,0,0,0,1,1,Latrisha Barden,PFP,36 South St.,9091 S. Bowman Street,8378 West Magnolia Street
28,3,45,597 Lawrence Street,4,1.7,95,0,0,0,0,0,Cyndy Calcagno,CFP,597 Lawrence Street,9929 Thompson Lane,177 Winchester Street
43,19,34,9834 East Pineknoll Ave.,3,0.6,0,0,0,0,0,0,Brandon Sum,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
35,9,25,76 Mayfair St.,3,0.1,0,0,1,0,1,0,Jodie Izquierdo,PFP,76 Mayfair St.,33 Harrison Road,9251 Old Vernon St.
34,9,55,9834 East Pineknoll Ave.,4,2,147,0,0,0,0,1,Corazon Eastin,PFP,336 Pin Oak Ave.,9834 East Pineknoll Ave.,742 Bridle Street
58,34,82,33 Harrison Road,1,4.3,263,0,0,0,0,0,Siobhan Flaugher,CFP,33 Harrison Road,9251 Old Vernon St.,667 E. Hall St.
41,16,120,8536 Country Club Dr.,2,3.9,0,0,0,0,1,1,Tanya Johansen,CFP,8536 Country Club Dr.,234 Blue Spring Rd.,533 Hillcrest Street
59,35,84,9834 East Pineknoll Ave.,1,1.8,0,0,0,0,1,0,Prudence Masters,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
40,14,28,33 Harrison Road,2,0.8,0,0,0,0,0,0,Jodie Izquierdo,PFP,76 Mayfair St.,33 Harrison Road,9251 Old Vernon St.
49,24,35,40 E. Dunbar Ave.,4,0.2,0,0,0,0,0,1,Deedra Halderman,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
61,36,48,5 Maple Lane,3,1.5,0,0,0,0,0,1,Cyril Murry,PFP,8722 Richardson Street,5 Maple Lane,24 Trusel Court
61,36,51,890 W. Brickyard Dr.,3,1.5,0,0,0,0,0,1,Val Sauceda,PFP,14 Lakeshore Lane,890 W. Brickyard Dr., 
27,1,142,33 Harrison Road,3,5.5,0,1,0,0,0,0,Jacqueline Leveque,CFP,33 Harrison Road,9251 Old Vernon St.,667 E. Hall St.
58,32,51,5 Maple Lane,1,2.8,0,0,0,0,1,0,Twila Bare,PFP,5 Maple Lane,24 Trusel Court,40 E. Dunbar Ave.
39,14,18,387 West Fifth Ave.,4,0.2,0,0,1,0,0,0,Aleida Suitt,PFP,387 West Fifth Ave.,8536 Country Club Dr.,234 Blue Spring Rd.
38,12,91,14 Lakeshore Lane,4,1.4,100,0,0,0,0,1,Zetta Gephart,PFP,4 Country Drive,14 Lakeshore Lane,890 W. Brickyard Dr.
38,13,65,36 South St.,3,0.5,0,0,0,0,1,0,Berry Gartman,CFP,94 Country Club St.,36 South St.,9091 S. Bowman Street
51,25,145,8376 Euclid Lane,1,0.3,0,0,0,0,1,0,Estefana Dungan,PFP,92 Ridgewood Dr.,8376 Euclid Lane,336 Pin Oak Ave.
36,10,83,8573 Princeton Road,1,2.8,0,0,0,0,0,1,Ying Michaelson,PFP,20 Bradford Ave.,8573 Princeton Road,4 Country Drive
55,28,21,7041 East Mammoth Drive,1,0.5,0,0,1,0,0,1,Cecil Caves,PFP,7041 East Mammoth Drive,597 Lawrence Street,9929 Thompson Lane
52,28,65,7041 East Mammoth Drive,1,0,0,0,0,0,1,1,Cecil Caves,PFP,7041 East Mammoth Drive,597 Lawrence Street,9929 Thompson Lane
32,6,112,1 Poplar St.,4,1.8,0,0,0,0,1,0,Gita Pinelli,PFP,7919 Cedarwood Dr.,1 Poplar St., 
42,18,110,91 Lake Court,2,6.1,182,0,0,0,1,0,Pansy Diblasi,PFP,91 Lake Court,7041 East Mammoth Drive,597 Lawrence Street
27,0,40,69 Spruce Dr.,1,2,110,0,0,0,0,1,Erik Clinard,PFP,36 Kent Court,69 Spruce Dr.,92 Ridgewood Dr.
34,8,44,597 Lawrence Street,4,0.2,0,0,0,0,0,0,Cecil Caves,PFP,7041 East Mammoth Drive,597 Lawrence Street,9929 Thompson Lane
61,36,23,9834 East Pineknoll Ave.,1,0.1,96,0,0,0,0,0,Brandon Sum,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
42,17,154,8378 West Magnolia Street,3,4.9,0,1,0,1,1,1,Bernarda Guilliams,PFP,8378 West Magnolia Street,518 Selby Ave.,8722 Richardson Street
27,2,78,14 Lakeshore Lane,4,0.2,87,0,0,0,0,0,Zetta Gephart,PFP,4 Country Drive,14 Lakeshore Lane,890 W. Brickyard Dr.
50,24,155,8017 Homestead Ave.,1,7.3,0,0,0,0,1,1,Margret Lan,PFP,8017 Homestead Ave.,387 West Fifth Ave.,8536 Country Club Dr.
53,29,95,5 Maple Lane,1,2.7,0,0,0,0,1,0,Twila Bare,PFP,5 Maple Lane,24 Trusel Court,40 E. Dunbar Ave.
57,31,51,33 Harrison Road,4,1.7,103,0,0,0,1,0,Jodie Izquierdo,PFP,76 Mayfair St.,33 Harrison Road,9251 Old Vernon St.
45,21,32,20 Bradford Ave.,4,0.6,77,0,0,0,0,1,Ying Michaelson,PFP,20 Bradford Ave.,8573 Princeton Road,4 Country Drive
62,37,61,24 Trusel Court,4,1.7,0,0,0,0,0,0,Deedra Halderman,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
31,5,84,76 Mayfair St.,1,2.9,105,0,0,0,0,1,Myesha Bromley,PFP,9670 Wilson Rd.,76 Mayfair St.,33 Harrison Road
34,7,52,33 Harrison Road,2,1,0,0,0,0,1,0,Siobhan Flaugher,CFP,33 Harrison Road,9251 Old Vernon St.,667 E. Hall St.
46,22,198,9834 East Pineknoll Ave.,2,6.666666667,0,0,0,0,0,1,Brandon Sum,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
58,32,75,69 Spruce Dr.,2,2.3,0,0,0,0,0,0,Erik Clinard,PFP,36 Kent Court,69 Spruce Dr.,92 Ridgewood Dr.
41,16,109,9834 East Pineknoll Ave.,3,1,0,0,1,0,1,0,Brandon Sum,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
29,4,130,68 Sunbeam St.,2,6.7,0,0,0,0,0,1,Carylon Race,PFP,68 Sunbeam St.,7330 West Grand St.,91 Lake Court
28,3,53,7041 East Mammoth Drive,2,1.6,0,0,0,0,0,0,Cecil Caves,PFP,7041 East Mammoth Drive,597 Lawrence Street,9929 Thompson Lane
39,14,113,336 Pin Oak Ave.,1,1,0,0,1,0,1,0,Corazon Eastin,PFP,336 Pin Oak Ave.,9834 East Pineknoll Ave.,742 Bridle Street
50,26,52,234 Blue Spring Rd.,4,0.1,0,0,0,0,0,0,Tanya Johansen,CFP,8536 Country Club Dr.,234 Blue Spring Rd.,533 Hillcrest Street
36,12,42,177 Winchester Street,1,1.333333333,0,0,0,0,1,0,Caitlin Wimmer,PFP,177 Winchester Street,20 Bradford Ave.,8573 Princeton Road
48,22,94,218 S. Westport Court,4,2.6,0,0,0,0,1,0,Marylee Bristow,PFP,218 S. Westport Court,9587 SW. Jefferson Street,9670 Wilson Rd.
48,23,112,7919 Cedarwood Dr.,1,5.1,86,1,1,1,1,0,Thao Lovato,PFP,7919 Cedarwood Dr.,1 Poplar St.,8017 Homestead Ave.
45,19,25,7041 East Mammoth Drive,2,0.1,102,0,0,0,1,0,Cecil Caves,PFP,7041 East Mammoth Drive,597 Lawrence Street,9929 Thompson Lane
33,3,71,177 Winchester Street,4,1.8,236,0,0,0,0,0,Pete Dickens,PFP,9929 Thompson Lane,177 Winchester Street,20 Bradford Ave.
58,33,15,742 Bridle Street,4,0.9,0,0,0,0,0,0,Prudence Masters,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
31,7,84,40 E. Dunbar Ave.,1,0.1,0,0,0,0,1,0,Deedra Halderman,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
45,21,38,33 Harrison Road,3,0.6,148,0,0,0,1,0,Jacqueline Leveque,CFP,33 Harrison Road,9251 Old Vernon St.,667 E. Hall St.
53,27,72,177 Winchester Street,2,1.5,0,0,0,0,1,0,Caitlin Wimmer,PFP,177 Winchester Street,20 Bradford Ave.,8573 Princeton Road
59,35,31,14 Lakeshore Lane,3,0.4,0,0,0,0,1,1,Val Sauceda,PFP,14 Lakeshore Lane,890 W. Brickyard Dr., 
53,23,20,36 Kent Court,4,0.4,0,0,0,0,1,1,Zofia Rambo,PFP,40 E. Dunbar Ave.,36 Kent Court,69 Spruce Dr.
35,11,58,234 Blue Spring Rd.,3,2,149,0,0,0,1,1,Carolin Whitmire,PFP,234 Blue Spring Rd.,533 Hillcrest Street,94 Country Club St.
40,14,53,533 Hillcrest Street,1,2,0,0,0,0,1,1,Carolin Whitmire,PFP,234 Blue Spring Rd.,533 Hillcrest Street,94 Country Club St.
32,8,82,7041 East Mammoth Drive,3,1.5,0,0,0,0,1,1,Pansy Diblasi,PFP,91 Lake Court,7041 East Mammoth Drive,597 Lawrence Street
31,5,79,14 Lakeshore Lane,4,2.2,0,0,0,0,0,0,Zetta Gephart,PFP,4 Country Drive,14 Lakeshore Lane,890 W. Brickyard Dr.
43,18,83,24 Trusel Court,2,3.8,112,0,0,0,0,0,Deedra Halderman,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
29,3,175,8017 Homestead Ave.,3,3.3,329,1,0,0,1,0,Elicia Schuyler,PFP,1 Poplar St.,8017 Homestead Ave.,387 West Fifth Ave.
31,5,35,9251 Old Vernon St.,1,0.6,171,0,0,0,0,0,Marcelene Thomson,PFP,9251 Old Vernon St.,667 E. Hall St.,68 Sunbeam St.
50,25,83,234 Blue Spring Rd.,4,3.1,0,1,0,0,0,1,Gala Mackson,CFP,8536 Country Club Dr.,234 Blue Spring Rd.,533 Hillcrest Street
54,30,145,742 Bridle Street,2,6.8,0,0,1,0,0,0,Prudence Masters,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
58,32,65,9251 Old Vernon St.,3,2.5,222,0,0,0,1,0,Marcelene Thomson,PFP,9251 Old Vernon St.,667 E. Hall St.,68 Sunbeam St.
56,31,39,597 Lawrence Street,4,0.9,0,0,0,0,0,0,Kristle Hanby,CFP,597 Lawrence Street,9929 Thompson Lane,177 Winchester Street
47,23,90,36 Kent Court,1,2.7,323,0,0,0,0,0,Zofia Rambo,PFP,40 E. Dunbar Ave.,36 Kent Court,69 Spruce Dr.
56,30,44,36 South St.,4,0.7,174,0,0,0,1,0,Latrisha Barden,PFP,36 South St.,9091 S. Bowman Street,8378 West Magnolia Street
56,32,190,76 Mayfair St.,3,2.2,0,1,0,1,1,0,Myesha Bromley,PFP,9670 Wilson Rd.,76 Mayfair St.,33 Harrison Road
44,19,34,742 Bridle Street,4,0,0,0,0,0,0,0,Brandon Sum,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
58,32,19,742 Bridle Street,4,0.7,0,0,0,0,0,0,Brandon Sum,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
48,22,71,9929 Thompson Lane,1,1.4,0,0,0,0,0,1,Kristle Hanby,CFP,597 Lawrence Street,9929 Thompson Lane,177 Winchester Street
55,31,74,387 West Fifth Ave.,3,2.666666667,0,0,0,0,0,1,Aleida Suitt,PFP,387 West Fifth Ave.,8536 Country Club Dr.,234 Blue Spring Rd.
54,28,53,9929 Thompson Lane,4,2.8,0,0,1,0,0,0,Pete Dickens,PFP,9929 Thompson Lane,177 Winchester Street,20 Bradford Ave.
56,30,73,9587 SW. Jefferson Street,2,1.1,0,0,0,0,0,0,Marylee Bristow,PFP,218 S. Westport Court,9587 SW. Jefferson Street,9670 Wilson Rd.
56,30,24,9670 Wilson Rd.,2,0.4,88,0,0,0,0,0,Myesha Bromley,PFP,9670 Wilson Rd.,76 Mayfair St.,33 Harrison Road
49,23,33,234 Blue Spring Rd.,1,0.3,0,0,0,1,1,1,Carolin Whitmire,PFP,234 Blue Spring Rd.,533 Hillcrest Street,94 Country Club St.
44,19,70,9929 Thompson Lane,1,0.1,0,0,0,0,0,0,Pete Dickens,PFP,9929 Thompson Lane,177 Winchester Street,20 Bradford Ave.
37,11,11,544 Edgewood Drive,3,0.1,0,0,0,0,0,0,Vicki Sowers,PFP,742 Bridle Street,544 Edgewood Drive,218 S. Westport Court
46,20,40,40 E. Dunbar Ave.,1,1.2,0,0,0,0,1,0,Zofia Rambo,PFP,40 E. Dunbar Ave.,36 Kent Court,69 Spruce Dr.
54,28,89,9834 East Pineknoll Ave.,1,1.9,0,0,0,0,1,1,Corazon Eastin,PFP,336 Pin Oak Ave.,9834 East Pineknoll Ave.,742 Bridle Street
49,24,79,1 Poplar St.,4,3.6,212,0,0,0,1,0,Gita Pinelli,PFP,7919 Cedarwood Dr.,1 Poplar St., 
27,2,68,533 Hillcrest Street,3,2.6,203,0,1,0,0,0,Jaquelyn Cubbage,PFP,533 Hillcrest Street,94 Country Club St.,36 South St.
60,36,39,36 South St.,4,1.3,140,0,0,0,1,0,Berry Gartman,CFP,94 Country Club St.,36 South St.,9091 S. Bowman Street
30,6,80,387 West Fifth Ave.,3,1.5,219,0,0,0,1,0,Margret Lan,PFP,8017 Homestead Ave.,387 West Fifth Ave.,8536 Country Club Dr.
40,16,104,8573 Princeton Road,2,1.8,0,0,0,0,0,0,Zandra Venne,PFP,8573 Princeton Road,4 Country Drive,14 Lakeshore Lane
49,23,32,8017 Homestead Ave.,4,1.8,83,0,0,0,0,0,Elicia Schuyler,PFP,1 Poplar St.,8017 Homestead Ave.,387 West Fifth Ave.
43,18,113,92 Ridgewood Dr.,2,0.4,325,0,1,0,0,0,Kirsten Mitchem,PFP,69 Spruce Dr.,92 Ridgewood Dr.,8376 Euclid Lane
57,31,43,92 Ridgewood Dr.,1,0.2,0,0,0,0,0,0,Kirsten Mitchem,PFP,69 Spruce Dr.,92 Ridgewood Dr.,8376 Euclid Lane
52,27,29,9834 East Pineknoll Ave.,1,1.5,159,0,0,0,0,1,Brandon Sum,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
54,28,83,68 Sunbeam St.,3,0.8,0,0,0,0,1,0,Carylon Race,PFP,68 Sunbeam St.,7330 West Grand St.,91 Lake Court
49,23,82,40 E. Dunbar Ave.,2,2.4,0,0,0,0,0,0,Taylor Kemp,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
41,17,129,890 W. Brickyard Dr.,1,3.4,0,0,0,0,0,1,Val Sauceda,PFP,14 Lakeshore Lane,890 W. Brickyard Dr., 
30,5,20,36 Kent Court,4,0.5,117,0,0,0,0,0,Erik Clinard,PFP,36 Kent Court,69 Spruce Dr.,92 Ridgewood Dr.
40,14,93,40 E. Dunbar Ave.,1,2.8,328,0,1,1,1,1,Deedra Halderman,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
60,36,129,40 E. Dunbar Ave.,2,6,0,0,0,0,1,0,Deedra Halderman,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
47,21,60,8378 West Magnolia Street,3,2.1,0,0,0,0,1,1,Kathaleen Horgan,PFP,9091 S. Bowman Street,8378 West Magnolia Street,518 Selby Ave.
55,30,69,94 Country Club St.,4,1.3,0,0,1,1,1,1,Jaquelyn Cubbage,PFP,533 Hillcrest Street,94 Country Club St.,36 South St.
58,32,72,1 Poplar St.,3,0.3,0,0,0,0,1,0,Elicia Schuyler,PFP,1 Poplar St.,8017 Homestead Ave.,387 West Fifth Ave.
54,24,83,742 Bridle Street,1,3,0,0,0,0,0,0,Brandon Sum,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
54,29,34,8722 Richardson Street,4,0.1,0,0,0,0,1,1,Collene Dubon,PFP,518 Selby Ave.,8722 Richardson Street,5 Maple Lane
62,38,35,544 Edgewood Drive,1,1.9,118,0,0,0,0,0,Donetta Mallet,PFP,544 Edgewood Drive,218 S. Westport Court,9587 SW. Jefferson Street
65,39,100,9587 SW. Jefferson Street,4,1.7,0,0,0,0,0,1,Marylee Bristow,PFP,218 S. Westport Court,9587 SW. Jefferson Street,9670 Wilson Rd.
61,36,130,20 Bradford Ave.,1,1.3,257,0,0,0,0,0,Ying Michaelson,PFP,20 Bradford Ave.,8573 Princeton Road,4 Country Drive
55,30,28,218 S. Westport Court,4,0.1,149,0,0,0,1,1,Marylee Bristow,PFP,218 S. Westport Court,9587 SW. Jefferson Street,9670 Wilson Rd.
42,17,9,8017 Homestead Ave.,2,0,0,0,0,0,0,0,Elicia Schuyler,PFP,1 Poplar St.,8017 Homestead Ave.,387 West Fifth Ave.
54,30,121,8536 Country Club Dr.,2,0.4,0,0,0,0,1,0,Tanya Johansen,CFP,8536 Country Club Dr.,234 Blue Spring Rd.,533 Hillcrest Street
51,27,112,7919 Cedarwood Dr.,3,1.8,0,0,1,1,1,1,Gita Pinelli,PFP,7919 Cedarwood Dr.,1 Poplar St., 
57,31,38,234 Blue Spring Rd.,4,0.7,0,0,0,0,1,0,Gala Mackson,CFP,8536 Country Club Dr.,234 Blue Spring Rd.,533 Hillcrest Street
39,15,168,8722 Richardson Street,2,8,152,0,1,0,0,0,Cyril Murry,PFP,8722 Richardson Street,5 Maple Lane,24 Trusel Court
37,13,84,387 West Fifth Ave.,1,3.6,0,0,1,0,0,0,Aleida Suitt,PFP,387 West Fifth Ave.,8536 Country Club Dr.,234 Blue Spring Rd.
62,37,29,20 Bradford Ave.,1,0.3,0,0,0,0,0,1,Ying Michaelson,PFP,20 Bradford Ave.,8573 Princeton Road,4 Country Drive
29,4,121,92 Ridgewood Dr.,2,3.3,0,0,0,0,1,0,Kirsten Mitchem,PFP,69 Spruce Dr.,92 Ridgewood Dr.,8376 Euclid Lane
